raw_substance,confidence,reason
"mL, solution buvable",0.9,"'mL, solution buvable' is dosage form language (oral solution), not a substance name."
"mL, solution injectable (I.V.-I.M.)",0.95,"This string is only dosage/route language ('mL, solution injectable (I.V.-I.M.)') with no substance named."
"mL, solution injectable en seringue préremplie",0.9,"This is dosage form language only ('mL, solution for injection in pre-filled syringe'), not a substance name."
"mL, suspension buvable",0.9,"This is dosage form/language only ('mL, oral suspension'), not a substance name."
matching the 50 mg (G029),0.6,"'matching the 50 mg (G029)' is a code/dosage placeholder, not a named substance."
microcrystalline cellulose and xanthan gum,0.8,"These are excipients (suspending agents), not an active pharmaceutical substance."
"ml
Forma farmacéutica: solución para pulverización nasal
Dosis y vía de administración: 0.6ml",0.9,"This string is only dosage/administration language, not a substance name."
"ml 
Injeksjonsvæske, oppløsning i sylindretter",0.85,"This string is only dosage form/volume language ('ml', 'Injeksjonsvæske, oppløsning i sylindretter' = injection solution in cartridges), not naming any active substance."
ml  for prick test,0.7,"Just dosage/test-form language, no substance named"
"ml ""Fresenius Kabi"" for subcutaneous injection",0.85,"This string only contains manufacturer/dosage form info, no substance name."
"ml ""Fresenius Kabi"", solvens til parenteralt brug",0.9,"This is a solvent/diluent for parenteral use, not an active substance."
"ml (0,5 ml injektionsvæske)",0.95,"'ml (0,5 ml injektionsvæske)' is a dosage/volume description, not a substance name."
"ml (SANS SULFITES), solution à diluer pour perfusion",0.85,This is dosage/formulation language ('ml ... solution à diluer pour perfusion') with no substance name.
ml + 10 microg,0.85,"This is dosage language ('ml + 10 microg') without a named substance, not matching the candidate."
"ml + 12,5 mikrog",0.7,This string is just dosage/quantity information ('ml + 12.5 micrograms') without naming any substance.
ml + 5 microg,0.85,"This is dosage/quantity language ('ml + 5 microg'), not a substance name."
ml + 5 mikrogram,0.7,"This is dosage language only, not a substance name."
ml - Ampullen,0.9,"'ml - Ampullen' is dosage/container language, not a substance name."
ml - Injektionsloesung,0.9,"'ml - Injektionsloesung' is dosage/formulation language only, not a substance name."
"ml - koncentrat till infusionsvätska, lösning",0.95,"This is only dosage form language ('ml - concentrate for solution for infusion'), not a substance name."
ml Amp. 20 ml Injektionslösung,0.9,"This is dosage/formulation language ('Amp. 20 ml Injektionslösung'), not a substance name."
ml Ampullen,0.9,"'ml Ampullen' is just dosage/container language (milliliters, ampoules), not a substance name."
ml Augentropfen,0.85,"'ml Augentropfen' means 'ml eye drops' - dosage form/volume language only, no substance named."
"ml Augentropfen, Losung",0.85,"This describes dosage form/volume language ('ml eye drops, solution') without naming an active substance."
"ml Augentropfen, Lösung",0.85,"This is just dosage form/volume language ('ml eye drops, solution'), not a substance name."
ml Concentrado para solución para perfusión,0.95,"This is dosage language only ('mL concentrate for solution for infusion'), not a substance name."
ml Concentrado para solução para perfusão,0.95,"This is dosage form language only ('ml concentrate for solution for infusion'), not a substance name."
ml Concentrato per soluzione iniettabile o per infusione,0.95,"Dosage form description only ('mL concentrate for solution for injection or infusion'), no substance named."
ml Concentrato per soluzione per infusione,0.97,"This is dosage form language ('ml concentrate for solution for infusion'), not a substance name."
ml Cutaneous Spray,0.85,"'ml Cutaneous Spray' is dosage form/volume language, not a substance name."
ml Emulsão injetável,0.9,"'ml Emulsão injetável' is just dosage/formulation language (mL, injectable emulsion) with no substance named."
ml Eye Drops,0.9,"'ml Eye Drops' is a dosage form description, not a substance name."
"ml Fresenius, infusievloeistof",0.85,"This is dosage/formulation language ('ml ... infusievloeistof') referencing a manufacturer, not a substance name."
ml Gel zur intestinalen Anwendung,0.85,"This is dosage form/language only ('ml gel for intestinal use'), not a substance name."
"ml Infuusiokonsentraatti, liuosta varten",0.95,"This is only a dosage form description (infusion concentrate for solution) in Finnish, not a substance name."
ml Injektions-,0.95,"'ml Injektions-' is just dosage/formulation language, not a substance name."
ml Injektions- oder Infusionslösung,0.95,"This is just dosage form language ('ml solution for injection or infusion'), not a substance name."
ml Injektionslösung in Durchstechflasche,0.9,"This string is only dosage/formulation language ('ml Injektionslösung in Durchstechflasche' = 'ml injection solution in vial'), not a substance name."
ml Injektionslösung und Infusionslösung,0.9,"This is only dosage form language, not a substance name."
ml Injektionslösung und Konzentrat zur Herstellung einer Infusionslösung,0.95,"This is dosage form language only, not a substance name."
"ml Injektionslösung, Fertigspritze",0.9,"This is dosage form language ('ml solution for injection, prefilled syringe') with no substance name."
ml Injekční roztok,0.95,'ml Injekční roztok' is dosage form language (mL injection solution) with no substance named.
ml KONZENTRAT ZUR HERSTELLUNG EINER INJEKTIONS- ODER INFUSIONSLOESUNG,0.95,"This is only dosage form language (concentrate for injection/infusion solution), not a substance name."
"ml Koncentrat till infusionsvätska, lösning",0.95,"This is only dosage form language (Swedish for 'ml concentrate for solution for infusion'), not a substance name."
ml Konzentrat zur Herstellung einer Injektions-,0.95,"This is only dosage form language ('ml concentrate for solution for injection'), not a substance name."
ml Konzentrat zur Herstellung einer Injektions- oder Infusionslösung,0.95,"This is dosage/formulation language only, not a substance name."
ml Konzentrat zur Herstellung einer Injektionslösung oder Infusionslösung,0.95,"This is dosage form/formulation language only, not a substance name."
ml Konzentrat zur Herstellung einer Lösung zum Einnehmen.,0.95,"This is dosage/form language only ('ml concentrate for solution for oral use'), not a substance name."
ml Lsung medac,0.85,"'ml Lsung medac' is dosage language plus manufacturer name (medac), not a substance name."
ml Lyophilisat und Lösungsmittel,0.9,"This is dosage form language ('mL Lyophilisate and solvent'), not a substance name."
ml MCT,0.6,"'ml MCT' appears to be a dosage/volume unit reference, not a substance name."
ml ODC,0.85,"'ml ODC' appears to be dosage/formulation text, not a substance name."
"ml PCH, concentraat voor oplossing voor infusie",0.9,"This string is just dosage form/formulation language ('concentrate for solution for infusion'), not a substance name."
"ml PCH, oplossing voor injectie",0.85,"'ml PCH, oplossing voor injectie' is dosage/formulation language (volume + solution for injection), not a substance name."
ml Pricktestlösung.,0.75,"'ml Pricktestlösung' just describes a prick-test solution dosage form, not a specific substance."
"ml Pulver für ein Konzentrat zur Herstellung einer
Infusionslösung",0.95,"This is just dosage form language (powder for concentrate for infusion solution), not a substance name."
ml Pulver für ein Konzentrat zur Herstellung einer Infusionslösung,0.95,"This is only dosage form language ('powder for concentrate for solution for infusion'), not a substance name."
ml Pulver und Lsungsmittel,0.95,"This is dosage form language ('powder and solvent'), not a substance name."
ml Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,0.95,"This is dosage form language only ('powder and solvent for solution for injection'), not a substance name."
ml Pulver und Lösungsmittel zur Herstellung einer Instillationslösung zur intraokularen Anwendung,0.9,"This is only dosage form/route language (powder and solvent for solution for instillation), no substance named."
ml Pulver zur Herstellung einer Injektions- bzw. Infusionslösung oder einer Lösung zur intravesikalen Anwendung,0.9,"This is dosage form/administration language only, no substance named."
ml Pulver zur Herstellung einer Injektionssuspension,0.9,"This is dosage form language ('Pulver zur Herstellung einer Injektionssuspension' = powder for injection suspension), not a substance name."
"ml Pulver, Lösungsmittel und Verdünnungsmittel zur Herstellung einer Provokationstestlösung",0.85,"This is dosage form/formulation description text (powder, solvent, diluent for a provocation test solution), not naming any substance."
"ml SANS CONSERVATEUR, solution injectable",0.9,"This is dosage/formulation language ('without preservative, solution for injection'), not a substance name."
"ml SANS CONSERVATEUR, solution à diluer pour perfusion",0.9,"This is dosage/formulation language only ('ml without preservative, solution to be diluted for infusion'), not naming any substance."
"ml SANS SULFITE, solution injectable",0.6,"This string is only dosage/formulation language ('ml sans sulfite, solution injectable') with no named active substance."
"ml SANS SULFITES, solution à diluer pour perfusion",0.85,"This is dosage/form language ('ml sans sulfites, solution à diluer pour perfusion'), not a substance name."
ml SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN EFG,0.9,"This is only dosage-form language (solution for injection/infusion), no substance named."
"ml SoloStar, solution for injection in a pre-filled pen",0.7,"Only dosage form/device description ('SoloStar' pen, 'solution for injection') is given with no substance name, so no substance can be identified."
ml Solução injetável,0.95,"'ml Solução injetável' is dosage form language (mL injectable solution), not a substance name."
ml Solução para pulverização nasal,0.95,"This is dosage form language ('mL nasal spray solution'), not a substance name."
ml Sterile Concentrate,0.85,"'ml Sterile Concentrate' is dosage/formulation language, not a named substance."
"ml Teva, oogdruppels",0.7,"'ml Teva, oogdruppels' is dosage/form language (eye drops volume) without an identifiable active substance name."
ml colirio en solución,0.95,"'ml colirio en solución' is just dosage form language (eye drop solution volume), not a substance name."
ml colirio en solución en envases unidosis,0.9,"This is dosage form language ('ml eye drops in single-dose containers'), not a substance name."
ml colirio en suspensión,0.9,"This is a dosage/formulation phrase ('mL eye drop suspension'), not a substance name."
ml collirio,0.9,'ml collirio' is dosage/form language (mL eye drops) with no named substance.
"ml collirio, soluzione",0.9,"Dosage form language only (eye drop solution volume), no substance named."
"ml collirio,soluzione",0.9,"'ml collirio, soluzione' is just dosage/form language (ml, eye drop solution), not a substance name."
ml collyre en solution,0.9,"'ml collyre en solution' is just dosage/form language (eye drop solution in mL), not a substance name."
ml concentrado para solución inyectable y para perfusión.,0.95,"This is dosage form language only, not a substance name."
ml concentrado para solución para perfusion,0.95,"This is dosage language only ('mL concentrate for solution for infusion'), not a substance name."
ml concentrado para solución para perfusion.,0.95,"Dosage form language only, not a substance name."
ml concentrado para solución para perfusión,0.97,"This is dosage form language ('ml concentrate for solution for infusion'), not a substance name."
ml concentrado para solución para perfusión EFG,0.95,"This is dosage form language only ('concentrate for solution for infusion'), not a substance name."
ml concentrado para solución para perfusión o inyección EFG,0.95,"This is dosage form language only ('mL concentrate for solution for infusion or injection EFG'), not a substance name."
ml concentrat pentru soluţie injectabilă,0.95,"This is dosage form language ('ml concentrate for solution for injection'), not a substance name."
ml concentrat pentru soluţie perfuzabilă,0.97,"This is dosage form language ('ml concentrate for solution for infusion' in Romanian), not a substance name."
ml concentrato per soluzione orale,0.9,"This is only dosage form language ('ml concentrate for oral solution'), not a substance name."
ml concentrato per soluzione per infusione,0.97,This is dosage/formulation language ('ml concentrate for solution for infusion') with no substance named.
ml concentrato per soluzione per infusione.,0.95,"This is dosage form language ('ml concentrate for solution for infusion') in Italian, not a substance name."
ml concentrato per soluzione perinfusione,0.95,"This is dosage form language only ('ml concentrate for solution for infusion' in Italian), not a substance name."
ml dispersión inyectable y para perfusión,0.97,"This is just dosage form language ('injectable dispersion and for infusion, ml'), not a substance name."
ml dyspersja do wstrzykiwań,0.9,"'ml dyspersja do wstrzykiwań' is Polish dosage-form language ('ml dispersion for injection'), not a substance name."
ml emulsione iniettabile o per infusione,0.9,"This is dosage form/volume language ('ml emulsion for injection or infusion'), not a substance name."
ml emulsión inyectable y para perfusión EFG,0.9,"This is just dosage form language ('emulsion for injection/infusion'), not a substance name."
ml emulsión para inyección o perfusión,0.95,"This is dosage form language only ('emulsion for injection or infusion'), not a substance name."
ml eye drops,0.95,"'ml eye drops' is dosage/formulation language, not a substance name."
ml eye drops solution in single-dose container,0.9,"Dosage form/container language only, no substance named"
"ml eye drops, solution",0.9,"Dosage form language only, no substance named"
"ml eye drops, suspension",0.95,"This is dosage form language only, not a substance name."
ml for prick test,0.85,"'ml for prick test' is dosage/procedure language, not a substance name."
ml gas and solvent for dispersion for injection,0.9,"This is dosage form/formulation language only, not a substance name."
ml gocce orali soluzione,0.9,"This is dosage form language ('oral drops solution, ml') with no substance named."
"ml gocce orali, soluzione",0.9,"This is dosage form language ('ml oral drops, solution') with no substance named."
"ml gocce orali, sospensione",0.9,"This is a dosage form description ('ml oral drops, suspension'), not a substance name."
ml gotas orales en solucin,0.9,"This is just dosage form language ('mL oral drops in solution'), not a substance name."
ml gotas orales en solución,0.95,"This is just dosage form language ('oral drops in solution'), not a substance name."
"ml i.v. infusievloeistof, oplossing voor infusie",0.9,"This is dosage form language only, not a substance name."
ml in water for injection,0.9,"'ml in water for injection' is dosage/vehicle language, not a substance."
ml inf,0.95,"'ml inf' is dosage/formulation language, not a substance."
"ml infusionsvätska, lösning",0.95,"This is just dosage form language ('infusion solution, solution'), not a substance name."
"ml infusjonsvæske, oppløsning",0.95,This is dosage form language ('infusion solution') with no substance named.
"ml infuusiokonsentraatti, liuosta varten",0.95,"This is dosage form language ('infusion concentrate, for solution') in Finnish, not a substance name."
ml injekcinis tirpalas,0.9,"'ml injekcinis tirpalas' is Lithuanian for 'ml injection solution' - just dosage form language, not a substance name."
ml injekcinis tirpalas užpildytame švirkšte,0.9,"This is dosage form language ('ml injection solution in pre-filled syringe' in Lithuanian), not a substance name."
ml injekn roztok,0.85,"'ml injekn roztok' is just dosage/formulation language (injection solution), not a substance name."
"ml injeksjonsvske, opplsning",0.9,This is just dosage form language (injection solution) with no substance named.
"ml injeksjonsvæske, emulsjon",0.85,"This is just dosage form language ('injection fluid, emulsion') with no substance name."
"ml injeksjonsvæske, oppløsning i ferdigfylt sprøyte",0.9,"This is dosage form language ('injection solution in pre-filled syringe'), not a substance name."
"ml injeksjonsvæske, suspensjon",0.9,"This is dosage form language ('injection fluid, suspension' in Norwegian), not a substance name."
"ml injeksjonsvæske, suspensjon.",0.9,"This is dosage/form language only ('ml injection solution, suspension'), not a substance name."
ml injektio-,0.9,"'ml injektio-' is a dosage form fragment (Finnish for 'injection'), not a substance name."
ml injektions-,0.95,"'ml injektions-' is dosage/language fragment, not a substance name."
ml injektionsvtska lsning,0.95,"This is dosage form language ('ml injection solution'), not a substance name."
ml injekční,0.95,"'ml injekční' is just dosage/formulation language (Czech for 'ml injectable'), not a substance name."
ml injekční suspenze,0.95,"This is dosage language ('ml injection suspension') in Czech, not a substance name."
ml injekčný alebo infúzny koncentrát,0.95,"This is dosage form language ('injection or infusion concentrate'), not a substance name."
ml jauhe oraalisuspensiota varten,0.9,"Finnish for 'ml powder for oral suspension' - dosage form language only, not a substance name."
"ml koncentrat till infusionsvätska, lösning",0.95,This is just dosage form language ('ml concentrate for solution for infusion') with no substance named.
"ml koncentrat till infusionsvätska, lösning.",0.95,"This is only dosage form language (Swedish: 'ml concentrate for solution for infusion'), not a substance name."
ml koncentrat till injektions-,0.95,"This is dosage form language ('ml concentrate for solution for injection'), not a substance name."
ml koncentrat za otopinu za infuziju,0.95,"This is dosage form language ('ml concentrate for solution for infusion' in Croatian), not a substance name."
ml koncentratas infuziniam tirpalui,0.9,"This is dosage form language ('ml concentrate for solution for infusion' in Lithuanian), not a substance name."
ml koncentratas injekciniam ar infuziniam tirpalui,0.85,"This is dosage form language (Lithuanian for 'ml concentrate for solution for injection or infusion'), not a substance name."
ml koncentrát na infúzny roztok,0.95,"This is dosage language only ('ml concentrate for solution for infusion' in Slovak), not a substance name."
ml koncentrát pro infuzní roztok,0.97,"This is dosage language ('ml concentrate for solution for infusion') in Czech, not a substance name."
ml koncentrát pro přípravu infuzního roztoku,0.95,"This is dosage language ('ml concentrate for solution for infusion') in Czech, not a substance name."
ml koncentrátum oldatos infúzióhoz,0.95,"This is dosage form language ('ml concentrate for solution for infusion' in Hungarian), not a substance name."
ml konsentrat til infusjonsvæske,0.97,"This is only dosage-form language (Norwegian for 'ml concentrate for solution for infusion'), not a substance name."
"ml konsentrat til infusjonsvæske, oppløsning",0.95,"This is just dosage form language (Norwegian for 'concentrate for solution for infusion'), not a substance name."
"ml mikstur, suspensjon",0.9,"This is dosage form language ('ml mixture, suspension' in Norwegian), not a substance name."
ml milteliai ir tirpiklis infuziniam tirpalui,0.9,"This is dosage form language ('powder and solvent for solution for infusion' in Lithuanian), not a substance name."
ml multidose,0.9,"'ml multidose' is dosage/packaging language, not a substance name."
ml och 5mcg,0.75,"'ml och 5mcg' is dosage/quantity language ('ml and 5mcg' in Swedish), not naming any substance."
ml oldatos injekció,0.9,"'ml oldatos injekció' is just dosage language (solution for injection), not a substance name."
ml oldatos injekció vagy infúzió,0.95,"This is dosage language only ('ml solution for injection or infusion'), not a substance name."
ml olje opplsning s produksjonlab,0.8,"This is dosage/formulation language ('ml oil solution, production lab'), not a substance name."
"ml oogdruppels, oplossing",0.9,"This is just dosage form language ('ml eye drops, solution') with no substance named."
"ml oogdruppels, suspensie",0.9,"This is dosage form language ('ml eye drops, suspension'), not a substance name."
ml oplossing voor injectie in een patroon,0.95,"This is dosage form language ('ml solution for injection in a cartridge'), not a substance name."
ml oplossing voor injectie in een voorgevulde spuit,0.9,"This is dosage form language only ('solution for injection in a pre-filled syringe'), not a substance name."
ml oplossing voor injectie in een voorgevulde spuit.,0.9,"This is only dosage form language ('solution for injection in a pre-filled syringe'), not a substance name."
ml oplossing voor injectie in injectieflacons.,0.95,"This is dosage form language only ('ml solution for injection in vials'), not a substance name."
ml oppløsningsvæske til parenteral bruk,0.95,"This is dosage/formulation language ('solvent for parenteral use') in Norwegian, not a substance name."
ml oral liquid,0.9,"'ml oral liquid' is dosage/formulation language, not a substance name."
ml otopina za injekciju,0.85,"'ml otopina za injekciju' is Croatian for 'ml solution for injection' - dosage form language, not a substance name."
"ml perorální kapky, roztok",0.9,"This is dosage form language ('oral drops, solution' in Czech), not a substance name."
ml polvere per soluzione iniettabile,0.95,"Dosage form/quantity language only ('ml powder for solution for injection'), not a substance name."
ml polvo para concentrado para solución para perfusión EFG,0.9,"This is dosage form language only ('powder for concentrate for solution for infusion'), not a substance name."
ml por és oldószer oldatos infúzióhoz vagy injekcióhoz,0.9,"This is dosage form/language text (powder and solvent for solution for infusion or injection), not a substance name."
ml powder and solvent for concentrate for solution for infusion.,0.95,"This is only dosage form language, not a substance name."
ml powder and solvent for solution for infusion,0.97,"This is dosage form language only, not a substance name."
ml powder and solvent for solution for injection,0.97,"This is dosage form language only, not a substance name."
ml praek in vehikel za raztopino za infundiranje,0.85,"This is dosage/vehicle language ('ml prašek in vehikel za raztopino za infundiranje' = powder and vehicle for solution for infusion), not a substance name."
ml prášek a rozpouštědlo pro infuzní roztok,0.95,This is dosage form language ('powder and solvent for solution for infusion') with no substance named.
ml prášek a rozpouštědlo pro injekční,0.95,"This is dosage form language (powder and solvent for injection), not a substance name."
"ml pršilo za nos, raztopina",0.9,"'ml pršilo za nos, raztopina' is Slovenian for 'ml nasal spray, solution' - a dosage form description, not a substance name."
ml pulbere pentru dispersie perfuzabilă,0.9,"This is dosage form language ('powder for infusion dispersion, ml'), not a substance name."
ml pulbere pentru soluţie injectabilă,0.9,"This is dosage form language ('ml powder for solution for injection'), not a substance name."
ml pulbere și solvent pentru soluție perfuzabilă,0.95,"This is dosage form language ('powder and solvent for solution for infusion'), not a substance name."
"ml pulver og væske til infusjonsvæske, oppløsning",0.95,"This is dosage form language (powder and liquid for solution for infusion), not a substance name."
ml pulver till oral suspension,0.95,"This is dosage form language ('powder for oral suspension'), not a substance name."
ml raztopina za injiciranje,0.95,"'ml raztopina za injiciranje' is Slovenian for 'ml solution for injection' - dosage language only, not a substance."
"ml silmätipat, liuos kerta-annospipetissä",0.9,This describes an eye drop dosage form (single-dose pipette) in Finnish with no actual substance name given.
ml solucion inyectable EFG,0.9,"This is dosage form language ('ml solucion inyectable EFG'), not a substance name."
ml solución bucal,0.9,"Dosage form language only ('ml oral solution'), not a substance name."
ml solución cutánea,0.9,"This is a dosage/formulation description ('ml cutaneous solution'), not a substance name."
ml solución inyectable EFG,0.95,"Just dosage form language ('solution for injection'), not a substance name."
ml solución inyectable en cartucho,0.95,"This is just dosage form language ('ml solution for injection in cartridge'), not a substance name."
ml solución inyectable o para perfusión EFG,0.95,"This is just dosage form language ('injectable or infusion solution'), not a substance name."
ml solución inyectable y para perfusión,0.97,"This is just dosage form language ('solution for injection and infusion'), not a substance name."
ml solución inyectable y para perfusión EFG,0.95,"This string is just dosage form language ('ml solución inyectable y para perfusión EFG'), not a substance name."
ml solución inyectable y para perfusión.,0.95,This is just dosage form language ('solution for injection and infusion') with no substance named.
ml solución para perfusion,0.97,"This is just dosage form language ('ml solution for infusion'), not a substance name."
ml solución para perfusión,0.97,"This is dosage form language ('mL solution for infusion'), not a substance name."
ml solución para perfusión EFG,0.95,"This is dosage form language ('solution for infusion'), not a substance name."
ml solución para perfusión.,0.97,"This is just dosage form language ('ml solution for infusion'), not a substance name."
ml solution for injection in a cartridge,0.9,"This is dosage form language only, not a substance name."
ml solution for injection in a pre-filled pen,0.9,This is just a dosage form description with no substance named.
ml solution for injection in cartridge.,0.9,"This is dosage/formulation language only, not a substance name."
ml solution for injection in pre-filled pen,0.9,"This string is only a dosage form description (pre-filled pen), no substance named."
ml solution for injection in pre-filled pen.,0.9,"This is dosage form language only, not a substance name."
ml solution for injection in prefilled cartridge,0.9,"This is only a dosage form description, not a substance name."
ml solution for injetion,0.95,"This is dosage/formulation language, not a substance name."
ml soluzione iniettabile in siringa pre-riempita.,0.95,"Dosage form language only ('ml solution for injection in pre-filled syringe'), no substance named."
"ml soluzione iniettabile, siringa preriempita",0.9,"This is dosage form language ('ml injectable solution, pre-filled syringe'), not a substance name."
ml solução injetável,0.95,"'ml solução injetável' is just dosage/formulation language ('ml injectable solution'), not a substance name."
"ml sospensione orale, Bambini",0.9,"This is dosage language ('ml oral suspension, children'), not a substance name."
ml spädningsvätska för parenteral användning,0.95,"This is Swedish for 'ml diluent solution for parenteral use' - a dosage/formulation phrase, not a substance name."
ml suspensión para inhalación por nebulizador,0.95,"This is a dosage form description ('suspension for inhalation via nebulizer'), not a substance name."
ml und 300 IR,0.7,"This is dosage/quantity text ('ml and 300 IR'), not a substance name."
ml vial50 ml et 10 ml,0.9,"This is just dosage/volume language, not a substance name."
"ml øyedråper, oppløsning",0.95,"This is dosage form language ('ml eye drops, solution' in Norwegian), not a substance name."
ml – Concentrato per soluzione per infusione,0.95,"This is dosage form language ('ml – concentrate for solution for infusion'), not a substance name."
ml – Injektions-,0.9,"This is dosage/formulation language ('ml - Injektions-'), not a substance name."
ml “Fresenius Kabi“,0.9,"This is dosage/volume language with a manufacturer name, not a substance."
ml) emulsione iniettabile o per infusione.,0.95,"This is dosage form language ('emulsion for injection or infusion'), not a substance name."
"ml), emulsie voor injectie of infusie",0.85,"This is a dosage form/strength fragment ('ml, emulsion for injection or infusion'), not a substance name."
"ml), roztwór do wstrzykiwan",0.95,"This is dosage form language ('solution for injection' in Polish), not a substance name."
"ml, Injektions-",0.9,"This is just dosage language ('ml, Injektions-'), not a substance name."
"ml, Injektions- oder Infusionslösung",0.95,"Dosage form/volume description only, no substance named."
"ml, Injektions- oder Infusionslösung oder Lösung zum Einnehmen",0.95,"This is dosage form/route language only, not a substance name."
"ml, Lösung zur Anwendung in der Mundhöhle",0.9,"This is a dosage form/quantity description only, not a substance."
"ml, Lösung zur intravesikalen Anwendung",0.85,"This is dosage/formulation language ('ml, solution for intravesical use'), not a substance name."
"ml, Peritonealdialyselösung",0.7,"This describes a dialysis solution volume/dosage form, not a specific substance."
"ml, Solution for skin-prick test",0.7,"This is dosage/device description language, not naming a specific substance."
"ml, Solução injetável",0.95,"This is only dosage/formulation language ('ml, solution for injection'), not a substance name."
"ml, collyre en solution en récipient unidose",0.9,"This is dosage/form language ('ml, eye drops solution in single-dose container'), not a substance name."
"ml, concentraat voor oplossing voor intraveneuze infusie",0.95,"This is dosage-form language only ('ml, concentrate for solution for intravenous infusion'), naming no substance."
"ml, concentraat voor oplossing voor intraveneuze infusie of injectie",0.95,"This is only dosage form/language description (Dutch: 'ml, concentrate for solution for intravenous infusion or injection'), naming no substance."
"ml, concentrato per soluzione per infusione",0.97,"This is dosage form language ('ml, concentrate for solution for infusion'), not a substance name."
"ml, concentrato per soluzione per infusione.",0.95,"This is dosage form language ('ml, concentrate for solution for infusion'), not a substance name."
"ml, eye drops, solution",0.95,"This is just dosage/form language, not a substance name."
"ml, gocce orali, soluzione.",0.95,"This is dosage form language ('mL, oral drops, solution'), not a substance name."
"ml, infusionsvätska, lösning",0.95,"This is dosage form language only ('ml, infusion solution'), not a substance name."
"ml, infuusiokonsentraatti, liuosta varten.",0.95,"This is dosage/formulation language ('ml, concentrate for solution for infusion' in Finnish), not a substance name."
"ml, injeksjonsvæske, suspensjon",0.95,"This is dosage form/formulation language ('injection solution, suspension'), not a substance name."
"ml, injektions- og infusionsvæske, emulsion",0.9,"This is only dosage form language (injection/infusion emulsion volume), not a substance name."
"ml, injektionsvätska, lösning i förfylld spruta",0.95,"This is just dosage form description text (Swedish: 'injection solution in pre-filled syringe'), not a substance name."
"ml, koncentrat do sporzadzania roztworu do wstrzykiwan lub infuzji",0.95,"This is just dosage form/volume language ('ml, concentrate for solution for injection or infusion'), not a substance name."
"ml, koncentrat do sporządzania roztworu do infuzji",0.95,"This is dosage form language ('concentrate for solution for infusion' in Polish), not a substance name."
"ml, koncentrat do sporządzania roztworu do infuzji.",0.95,"This is dosage form language ('ml, concentrate for solution for infusion'), not a substance name."
"ml, koncentrat till infusionsvätska, lösning",0.95,This is just dosage form language (concentrate for solution for infusion) with no substance name.
"ml, krople do oczu, roztwór",0.9,"'ml, krople do oczu, roztwór' is Polish for 'ml, eye drops, solution' - dosage form language only, not a substance name."
"ml, krople doustne, roztwór",0.9,"This is just dosage form description (oral drops, solution) with no substance named."
"ml, liquide pour inhalation par vapeur",0.8,"This is only a dosage form description ('ml, liquid for inhalation vapour'), not naming any substance."
"ml, mulsion injectable ou pour perfusion",0.9,"This is just dosage/formulation language ('ml, emulsion injectable ou pour perfusion'), not a substance name."
"ml, multidose",0.95,"'ml, multidose' is dosage/packaging language, not a substance name."
"ml, oogdruppels, oplossing",0.9,"'ml, oogdruppels, oplossing' is Dutch for 'ml, eye drops, solution' - dosage form language only, no substance named."
"ml, oogdruppels, oplossing in verpakking voor éénmalig gebruik",0.9,"This is dosage form/packaging language ('ml, eye drops, solution in single-use package'), not a substance name."
"ml, oplossing voor injectie in een voorgevulde spuit",0.9,"Only dosage form description, no substance named"
"ml, oplossing voor injectie in voorgevulde spuit.",0.9,"This string is only dosage form description (solution for injection in pre-filled syringe), not a substance name."
"ml, oppløsningsvæske til parenteral bruk",0.95,"This is Norwegian for 'solvent for parenteral use', a dosage form description, not a substance name."
"ml, poeder en oplosmiddel voor oplossing voor injectie",0.95,"This is dosage form/formulation language (powder and solvent for solution for injection), not a substance name."
"ml, polvo para concentrado para solución para perfusión.",0.95,"This is dosage form language ('ml, powder for concentrate for solution for infusion') with no substance named."
"ml, polvo para solución para perfusión",0.9,"This is dosage form language only ('ml, powder for solution for infusion'), not a substance name."
"ml, poudre et solvant pour solution injectable",0.9,"This is just dosage form language ('ml, powder and solvent for solution for injection'), not a substance name."
"ml, powder and solvent for solution for injection",0.95,"This is dosage form/quantity language, not a substance name."
"ml, proszek do sporządzania koncentratu roztworu do infuzji",0.9,This is dosage form language ('powder for concentrate for solution for infusion') with no substance named.
"ml, práek a rozpoutědlo pro infuzní roztok",0.9,"This is dosage form language (powder and solvent for solution for infusion), not a substance name."
"ml, rozpuszczalnik do sporzqdzania lekow parenteralnych",0.9,"This is a solvent/diluent for parenteral drug preparation, not a substance itself."
"ml, rozpuszczalnik do sporządzania leków parenteralnych",0.95,"This is a solvent/diluent for parenteral preparation, not a substance."
"ml, roztwór do infuzji",0.95,"'ml, roztwór do infuzji' is just dosage form language (solution for infusion) with no substance named."
"ml, roztwór do wstrzykiwań",0.95,"This is just dosage form language ('ml, solution for injection' in Polish), not a substance name."
"ml, solution buvable",0.9,"'ml, solution buvable' is just dosage form language (oral solution volume), not a substance name."
"ml, solution buvable en gouttes",0.9,"This is dosage form language ('ml, oral solution in drops'), not a substance name."
"ml, solution for injection in vials",0.9,"This string is dosage/formulation language only, not a substance name."
"ml, solution injectable (IV ou péridurale)",0.9,"This is dosage/form language only, no substance named"
"ml, solution injectable en seringue préremplie",0.9,"This is dosage/formulation language ('ml, injectable solution in pre-filled syringe'), not a substance name."
"ml, solution injectable ou rectale",0.85,"Dosage form language only, no substance named."
